country,aid2,lnaid2,prod2,GDPpc2,growth2,FDI2,trade.de2,polity2,dom2,usally2,reserve2,pop2,dist,taiwan2
Algeria,147058499.8,11.89858574,13.21067106,8.009971091,3.714229189,20.90410931,0.120794293,0.214285714,5.022127134,0,15.19577496,34324284,9117.676,0
Angola,12131022899,16.31127661,13.0298355,7.352209758,7.854342056,3.273412693,0.516978304,-2.214285714,2.785082358,0,14.71801204,20847836.07,11769.51,0
Benin,396205897.8,12.8896893,1.973736704,6.384496011,4.128400561,3.082666212,0.071297437,6.5,0,0,7.994145399,8371274.5,11545.88,0
Botswana,164710557.6,12.01194502,0,8.476255134,4.583234349,19.3886582,0.007062336,8,0,0,0,1911547.214,11792.98,0
Burkina Faso,0,0,0,6.000130248,6.051360444,17.2377545,0.006601162,-0.5,0.562263762,0,0,14156845.14,11404.37,1
Burundi,249973663.1,12.42911084,0,5.107262561,2.844951399,11.3840352,0.00082142,4,6.098193869,0,0,7878821.214,10011.62,0
Cameroon,4714685628,15.3661928,10.22072122,6.844732185,3.577315677,14.1271311,0.02765762,-4,0.344879553,0,11.64380934,18270591.79,11002.26,0
Central African Republic,231949267.1,12.35427395,0,5.848928806,2.449969674,16.7131769,0.000847325,0.714285714,3.295846748,0,0,4200095.214,10367.61,0
Chad,261019966.3,12.47235218,7.625830929,6.192366491,8.426862945,11.2832336,0.008819883,-2,3.381317655,0,13.21311774,10641860.14,10103.65,0.571428571
Comoros,94827743.33,11.4598173,0,6.400652695,2.706310429,14.38327783,0.000252338,5.714285714,2.22500011,0,0,637138.9286,9456.55,0
Congo Brazzaville,4148353567,15.23822208,11.44160266,7.388773939,4.220792647,14.92492021,0.104465075,-4.357142857,2.459572208,0,13.24302364,3946203.643,11274.53,0
Congo Kinshasa,8926735389,16.00456131,8.97148855,5.492041377,3.562904413,17.01711281,0.039120622,3.071428571,6.29132392,0,11.11465521,58125528.43,11008.18,0
Djibouti,217683471.7,12.29079732,0,6.911061151,3.6419222,17.16170673,0.010074367,2,0.53831171,0,0,804962.6429,7769.803,0
Egypt,3837328721,15.16028704,12.34795848,7.40218827,4.575450569,18.63112784,0.181204624,-4.307692308,3.953615475,0,14.08805033,79186149.79,7551.418,0
Equatorial Guinea,1233169632,14.02509835,11.44987789,8.913507415,17.39037851,17.42133746,0.065429882,-5,2.067134405,0,10.32115778,826003.0714,11235.13,0
Eritrea,288977535.7,12.57410423,0,5.688218349,1.186776556,17.02329828,0.001308435,-6.857142857,0.410214513,0,0,3974911.583,7878.1,0
Ethiopia,10205013663,16.13838969,0,5.301088052,8.467144276,19.39382749,0.029525271,-1.285714286,3.924948684,0,5.055927283,80211213.43,8315.988,0
Gabon,456631945.1,13.03163297,11.44939817,8.767144828,1.156223042,13.86250388,0.041025833,-2,0.434444208,0,13.6280818,1489419.143,11432.47,0
Gambia,0,0,0,6.229052101,3.744712881,17.625695,0.00862113,-5,0.932701775,0,0,1526349.214,12365.75,1
Ghana,10162848689,16.13424934,8.124995162,6.4997629,6.377181585,20.05788186,0.055878234,6.714285714,0.394390066,0,9.203311972,22499251.71,11831.63,0
Guinea,760870178.5,13.54221803,0,5.945644661,2.887446705,15.80979518,0.01228213,-0.571428571,3.807775636,0,0,10064435.5,12651.77,0
Guinea-Bissau,270075914.8,12.50645836,0,6.03313221,2.803817237,15.45126314,0.000575603,4.214285714,3.925723447,0,0,1441802.357,12441.42,0
Ivory Coast,2680327603,14.80144958,9.271993516,6.856103751,1.214885977,19.55012288,0.025977082,1.071428571,6.296857557,0,10.50506754,19071993.64,12145.08,0
Kenya,7807227297,15.87056044,0,6.444968136,4.079630624,18.10021543,0.039964766,5.642857143,3.988964381,0,0,37791006.64,9223.831,0
Lesotho,227515893.5,12.33497538,0,6.644586457,3.948066806,17.47686752,0.002573246,7.142857143,0.410214513,0,0,1981244.857,11972.86,0
Liberia,354960203.1,12.77976096,0,5.36564992,6.222550667,18.5447863,0.047645161,3.642857143,3.091899176,1,0,3524416.5,12572.44,0.357142857
Libya,343918536.2,12.74816009,13.13751495,8.93172344,-1.001558828,14.5143465,0.096914019,-6,0.944443479,0,16.41781072,5872859.143,8743.509,0
Madagascar,324978578,12.69151455,0,5.793500344,2.966490164,19.04624591,0.014540238,5.428571429,1.653820832,0,0,19235314.71,9676.325,0
Malawi,484299176.5,13.09045813,0,5.664762716,4.258573025,15.59369067,0.002662154,5.642857143,0.127982819,0,0,13775958.14,10394.82,0.714285714
Mali,1284928196,14.0662134,0,6.202328654,4.768731292,16.2785771,0.008483335,6.285714286,0.644140606,0,0,13560265.64,11841.6,0
Mauritania,957098120.5,13.77166119,4.174153109,6.662946149,4.832070207,16.51751265,0.024376257,-3.785714286,2.15324684,0,10.23682789,3289624.786,11903.59,0
Mauritius,1581401248,14.27382188,0,8.650356158,4.420461402,16.17237997,0.013846373,10,0,0,0,1230923.071,9054.787,0
Morocco,601297149.6,13.30684452,4.918074626,7.638590231,4.345005724,20.35338235,0.089028954,-5.714285714,2.185931204,0,6.074328601,31156936.57,9951.105,0
Mozambique,5729049928,15.56106027,0,5.916867883,7.539804925,20.04687475,0.014001836,5,1.705051998,0,0,22009038.21,11347.11,0
Namibia,786471555.7,13.57531184,0,8.099792862,4.621071383,19.4028191,0.012195464,6,0,0,0,2083662,12372.95,0
Niger,417683294.5,12.94247876,1.192819508,5.543047564,4.167219335,17.91779458,0.005224837,4.785714286,1.970809117,0,0,14587453,11024.17,0
Nigeria,9091596651,16.0228611,13.65020525,6.767982505,7.626651218,21.9680922,0.205270016,4,6.851308173,0,16.21307877,145510742.4,11466.06,0
Rwanda,684040173.9,13.43577193,0,5.824982707,7.973301301,16.80330753,0.002242272,-3.642857143,2.403715261,0,0,9452739.071,9845.182,0
Senegal,515722254.1,13.15332363,0,6.635236427,4.058301891,19.00480219,0.012880255,6.928571429,1.179102241,0,0,11822841.14,12312.88,0.5
Sierra Leone,364684623.2,12.80678821,0,5.699230441,6.637467736,17.71999778,0.004298998,4.928571429,2.767335118,0,0,5832615.571,12570.8,0
Somalia,33112046.61,10.40765244,0,NaN,NaN,9.906789511,0.001422228,0.384615385,5.131075817,0,0,10958376.5,NA,0
South Africa,8824227063,15.99301157,8.579167116,8.473542407,3.346501299,21.72478588,0.628664877,9,2.2620398,0,8.767692417,48753580.38,12967.77,0
South Sudan,260344352,12.46976046,NaN,7.153641261,-25.36121956,18.89691492,0.000462802,0,1.716993602,0,NaN,10814868.33,NA,0
Sudan,7442394959,15.82270326,11.5816771,6.503097325,6.465383246,20.81736333,0.209596812,-5.083333333,6.667348557,0,12.77000979,31204857.17,8402.047,0
Swaziland,0,0,0,7.806819948,3.374274366,13.04915534,0.001661066,-9,1.162621477,0,0,1146419.857,11485.86,1
Tanzania,4688037357,15.36052458,0,6.13188086,6.378698102,20.38268528,0.033328836,-1,2.567172433,0,0,41720899.5,9422.745,0
Togo,442461674.4,13.00010913,0,5.953849728,2.370115288,18.20398361,0.039430723,-2.714285714,1.548848608,0,0,5953927.5,11656.86,0
Tunisia,184599253.1,12.12594256,10.22387563,8.076163445,3.938151558,20.65280909,0.026534938,-3.75,0.852377085,0,11.75851502,10295357.29,8646.589,0
Uganda,1081745104,13.89408613,0,5.897365234,7.023197995,19.80536829,0.007403182,-2.285714286,5.545082152,0,1.829664662,30342546.64,9468.473,0
Zambia,4096907229,15.22574291,0,6.624289363,6.878156128,20.03770363,0.036042485,5.142857143,1.267847315,0,0,12664137.93,10960.79,0
Zimbabwe,8133740815,15.9115315,0,6.277567143,-0.752224935,17.5990032,0.018968625,-2.428571429,3.100557079,0,0,13392994.5,10898.12,0