country,production2,reserve2,africa,part,part2,part3,partner,partner2,aid2,prod2,prod2.2,GDP2,polity2,GDPpc2,growth2,FDI2,dom2,usally2,pop2,trade.de2,lntrade2,lnexport2,lnimport2,taiwan2,lnaid2,totalPresPremvisits.x,totalPresPremDays.x,totalPresPremvisits.y,totalPresPremDays.y,visit_h,visitdays_h
Afghanistan,0,0,0,1,1,0,1,1,0,0,NA,22.84169035,NA,5.770217437,8.794258294,18.48309391,8.004424694,0,26055492.1,0.005348472,18.32943129,18.31420044,13.88054132,0,0,0,0,0,0,0,0
Albania,16.83607,11.11766346,0,0,0,0,0,0,0,7.909707315,NA,22.92062772,8.4,8.013854858,4.990625086,20.01857509,0.787169266,0,2978466.5,0.007392629,18.59260141,18.33420611,16.21821191,0,0,0,0,0,0,0,0
Algeria,1532.24317,15.23511925,1,0,1,0,1,1,130146818.5,13.26999104,13.41653351,25.46838913,1,8.122065807,3.859636449,21.17565606,4.716377373,0,34185975.4,0.13573548,21.56165244,21.33555922,19.88052046,0,11.77641847,1,3,2,5,1,3
Angola,1777.04918,14.75044101,1,0,0,0,0,0,10277209162,13.14968803,13.15477169,24.43781261,-2,7.595714221,9.433250725,0.477370603,2.340759951,0,20735102.5,0.571918271,22.94735955,20.36518746,22.86248865,0,16.1454393,1,1,0,0,1,1
Argentina,551.11977,13.77440986,0,1,1,0,1,1,0,12.43428446,12.57906378,26.21904561,8,8.720964824,4.714664944,22.36331763,2.750194407,1,39766461.1,0.359703928,22.57933151,21.36479514,22.15684975,0,0,1,3,1,4,2,6
Armenia,0,0,0,0,0,0,0,0,0,0,NA,22.52239485,5,7.626115713,7.815786554,19.77459564,1.160139411,0,2947482.6,0.002831921,17.55056403,17.17883386,15.9045503,0,0,0,0,0,0,0,0
Australia,405.71858,13.62713336,0,0,0,0,0,0,0,12.05973653,12.25749165,27.37566705,10,10.5217141,3.088703147,19.33273461,1.126446411,1,20890717.4,2.052511906,24.31440326,23.36346113,23.81614505,0,0,3,12,2,10,3,12
Austria,16.9153,9.984173057,0,0,0,0,0,0,0,8.742013033,NA,26.54530033,10,10.61859393,1.671564076,18.34863281,1.812210623,0,8258716.9,0.182224694,21.93049104,20.85676693,21.50959449,0,0,0,0,2,8,1,6
Azerbaijan,921.74863,14.57535358,0,0,0,0,0,0,0,12.30268088,12.29826693,23.81710169,-7,7.849334203,14.30523363,22.05606696,1.313725199,0,8610830.7,0.022782411,19.80684039,19.68282671,17.17435123,0,0,0,0,0,0,0,0
Bahrain,41,10.72468488,0,0,0,0,0,0,0,9.473068048,NA,23.62456801,-6.9,9.822000159,5.325212883,20.36998152,1.469845131,0,1004593,0.022760787,19.79581399,19.43718946,18.51451795,0,0,0,0,0,0,0,0
Bangladesh,4.66667,9.512549466,0,1,0,0,1,0,0,7.631244573,NA,25.11516035,3.3,6.317983919,5.717377437,20.13020205,5.697703718,0,145818699.3,0.174712056,21.87571952,21.84220332,18.43916994,0,0,1,2,1,3,1,2
Belarus,30,11.18816438,0,0,0,0,0,0,0,9.43040723,NA,24.29397009,-7,8.214490428,7.527561042,20.37750376,3.00444037,0,9622074,0.0292384,20.0108403,18.85464472,19.56334751,0,0,1,2,1,2,1,2
Belgium,0,0,0,0,0,0,0,0,0,0,NA,26.7484491,9,10.57011939,1.713458721,24.91124517,2.760730459,1,10623212.6,0.733153314,23.32412941,22.89962832,22.24773774,0,0,1,2,2,5,3,8
Benin,0,7.992294586,1,0,0,0,0,0,53803891.81,1.066036042,NA,22.4136028,6.6,6.478989248,3.645547212,0.594528437,0,0,8352154.8,0.074980486,21.02635186,20.94524669,18.334561,0,10.89310108,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,NA,20.7179216,-3.3,7.294586063,8.723367965,16.21901291,2.852359532,0,676949.9,0.000163609,14.47429034,14.3272479,#NAME?,0,0,0,0,0,0,0,0
Bolivia,41.58128,12.00934501,0,0,0,0,0,0,0,9.571626139,NA,23.26518341,7.8,7.214014462,4.198934225,15.80484544,4.829099678,1,9363688.1,0.007997872,18.59584054,17.97680929,17.80096212,0,0,0,0,0,0,0,0
Botswana,0,0,1,0,0,0,0,0,164710557.6,0,NA,23.01611859,8,8.556603133,4.78036032,19.88106468,0,0,1906056.4,0.008014576,18.55617537,18.36495317,16.01524322,0,12.01194502,0,0,0,0,0,0
Brazil,2061.22549,15.18567438,0,0,1,1,1,1,0,13.35651437,13.3987047,27.77638696,8,8.715553718,3.965921564,24.12308987,3.541471296,1,189768602,1.371151182,23.86169147,22.79241042,23.43580542,0,0,1,6,1,2,3,12
Bulgaria,1,8.607947555,0,0,0,0,0,0,0,5.818704282,NA,24.29921169,9,8.458194481,4.271274294,22.01466779,1.88495425,0,7581561.1,0.039852695,20.30156511,20.07646104,18.5685648,0,0,0,0,1,3,0,0
Burkina Faso,0,0,1,0,0,0,0,0,0,0,NA,22.5603426,0,6.102353141,6.242855105,17.28390507,0.787169266,0,14099936.4,0.007025786,18.49410629,16.98912295,18.04007311,1,0,NA,NA,NA,NA,NA,NA
Burundi,0,0,1,0,0,0,0,0,158987378.1,0,NA,20.99610104,5.2,5.125485062,3.562101101,12.99800453,6.146648484,0,7842706.6,0.00081748,16.40823227,16.27448314,13.76182668,0,11.97658009,0,0,0,0,0,0
Cambodia,0,0,0,1,1,0,1,1,0,0,NA,22.75317457,2,6.330118464,7.947003129,19.74075417,0.552146092,0,13578995.6,0.042152565,20.44724179,20.38575343,17.58181993,0,0,1,2,2,5,3,9
Cameroon,63,11.61410303,1,0,0,0,0,0,4122531624,10.19624381,NA,23.64471747,-4,6.930248753,3.274354982,19.16375364,0.482831374,0,18210402.6,0.025464014,19.90141424,19.15682209,19.201263,0,15.231978,1,2,1,3,1,2
Canada,3137.8388,17.62974864,0,1,1,0,1,1,0,13.72850981,13.96096352,27.85677799,10,10.55117759,2.006129983,23.92687469,1.708674161,1,32802583.1,1.211447029,23.82461416,23.29650839,22.92332336,0,0,3,8,2,9,4,13
Central African Republic,0,0,1,0,0,0,0,0,229679017.8,0,NA,21.16526283,-0.4,5.910367456,2.461149607,17.11575435,2.572998723,0,4222407.5,0.000880511,16.47902852,15.49930946,15.96045775,0,12.34443804,0,0,0,0,0,0
Chad,104.48361,13.21311774,1,0,0,0,0,0,259560018.8,9.621270544,10.63441422,22.58924714,-2,6.416391716,9.899790175,8.226349876,4.251013343,0,10614174.7,0.01038863,18.50363625,17.02622678,18.00032051,0.5,12.46674324,0,0,0,0,0,0
Chile,6.08197,10.91053265,0,1,1,0,1,1,0,7.320392935,NA,25.66694928,9.6,9.054642638,4.52932765,22.96920835,2.524814914,1,16399359.3,0.579565377,23.03541588,21.92685807,22.63142699,0,0,1,2,1,3,2,4
Colombia,944.21858,13.27568657,0,0,0,0,0,0,0,12.31049698,12.31034916,25.89703194,7,8.29661457,4.581963963,22.50760235,6.438379801,1,44058720.1,0.118343492,21.34933018,21.08179991,19.80014167,0,0,0,0,0,0,0,0
Comoros,0,0,1,0,0,0,0,0,89441340.36,0,NA,19.8586143,7.4,6.498605421,1.978321093,14.73021448,1.520180492,0,635633.2,0.000284445,15.41670141,15.25810359,#NAME?,0,11.40133827,0,0,0,0,0,0
Congo Brazzaville,280,13.24735247,1,0,0,0,0,0,2930174342,11.41735832,11.40664077,22.69938403,-4,7.518923187,4.649471827,20.44783981,2.67437249,0,3932056.2,0.122015341,21.45835775,19.13548311,21.34635496,0,14.89057248,1,2,0,0,1,2
Congo Kinshasa,20,11.11193009,1,0,0,0,0,0,8881809006,8.946927536,NA,23.39117989,3.8,5.523045345,5.600404333,16.32873863,6.392094859,0,57799195.8,0.041950063,19.93330878,18.47070786,19.60156944,0,15.99951581,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,NA,23.94012174,10,8.658313167,4.40983222,21.15737141,1.076848499,1,4336584.2,0.097656812,21.23303944,19.60017527,21.0102224,0.6,0,1,2,0,0,1,2
Croatia,11.83333,10.25362088,0,1,0,0,1,0,0,8.729098035,NA,24.62432793,8.7,9.322757965,2.167322908,21.48533929,0.552146092,0,4419898.9,0.04281948,20.38363004,20.33162443,17.37511882,0,0,0,0,0,0,1,2
Cuba,52.0765,11.62007474,0,0,0,0,0,0,0,9.855819557,NA,24.63937715,-7,8.399688992,5.227854266,NA,0.482831374,0,11293005.5,0.064734412,20.84952615,20.38296798,19.83240614,0,0,2,5,1,3,2,5
Cyprus,0,0,0,0,0,0,0,0,0,0,NA,23.74831079,10,10.19755605,2.723097807,16.95301118,0,0,1053489.9,0.030633678,20.07013374,20.05961464,15.39450636,0,0,0,0,0,0,0,0
Czech Republic,3,8.607947555,0,0,0,0,0,0,0,7.489878652,NA,25.77598454,8.8,9.627075691,3.121328532,22.67364661,2.208584367,1,10313600.1,0.200198039,21.97817104,21.76822893,20.30114734,0,0,1,2,0,0,1,2
Denmark,202.24618,12.96126218,0,0,0,1,1,1,0,11.6434515,11.64885736,26.35740237,10,10.84407136,0.847272642,13.20189416,1.160139411,1,5462414.1,0.259576529,22.282651,21.87340312,21.17709649,0,0,0,0,1,2,1,3
Djibouti,0,0,1,0,0,0,0,0,117295886.5,0,NA,20.54360661,2,6.947211248,4.150154669,17.67228248,0,0,804130.9,0.009230036,18.89536314,18.89161648,12.70489895,0,11.67245497,0,0,0,0,0,0
East Timor,79.49454,0,0,0,0,0,0,0,0,9.193916456,NA,20.23264481,6.6,6.376645707,4.91608105,14.48486591,2.190826864,0,1043269.8,0.00080098,16.11380927,15.60547058,#NAME?,0,0,0,0,0,0,0,0
Ecuador,503.5921,14.32553162,0,0,0,0,0,0,0,12.08659147,12.09189536,24.60408869,5.6,8.143332566,4.523263537,19.9658993,4.550856952,1,14103035.6,0.051994403,20.5892388,20.35754177,18.80839454,0,0,0,0,0,0,0,0
Egypt,539.48361,14.11057711,1,0,1,0,1,1,3382942415,12.30111105,12.46944405,25.5725269,-3.8,7.389154869,4.683198623,17.73131419,4.060491245,0,78985247.9,0.182531582,21.88966028,21.77526743,19.59532821,0,15.03425643,2,6,2,7,3,9
El Salvador,0,0,0,0,0,0,0,0,0,0,NA,23.64234881,7.3,8.023791742,1.952883429,15.93856046,2.114263385,1,6068629,0.014398817,19.38404201,19.36478918,15.29858479,1,0,NA,NA,NA,NA,NA,NA
Equatorial Guinea,289.4,10.64388341,1,0,0,0,0,0,1193479785,11.60840191,11.6173342,22.87505157,-5,9.267776668,12.78947565,16.48180468,2.893988167,0,818761.9,0.071964954,20.9231271,17.75932085,20.79946552,0,13.99238379,0,0,0,0,0,0
Eritrea,0,0,1,0,0,0,0,0,253835140.8,0,NA,21.00926231,-7,5.789654964,0.980116558,16.90969814,0.574300319,0,4080901.4,0.001512691,17.02199363,16.83610923,13.18966391,0,12.44444028,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,NA,23.48486645,9,9.370409885,3.689360851,21.17511023,1.160139411,0,1348540.4,0.025856595,19.94312478,19.73740819,18.17039559,0,0,0,0,1,2,0,0
Ethiopia,0,5.055927283,1,1,0,0,1,0,8236251649,0,NA,23.56296719,-1.8,5.367716825,9.035553859,19.56148676,4.942782066,0,80059549.3,0.033008395,20.10182323,19.95342707,17.85396513,0,15.9240559,1,2,1,2,1,2
Fiji,0,0,0,1,0,0,1,0,0,0,NA,21.7932041,-0.1,8.157401773,1.650840099,19.08625927,0.766152708,0,835705.6,0.003642305,18.00552027,17.95096424,14.34820087,0,0,1,2,0,0,1,2
Finland,0,0,0,0,0,0,0,0,0,0,NA,26.11361324,10,10.63335911,1.763510681,13.86354364,0,0,5284676.2,0.377149937,22.65310519,22.06754996,21.81265914,0,0,1,1,0,0,1,1
France,16.25137,10.73514867,0,1,0,1,1,1,0,8.938377495,NA,28.47856319,9,10.50899055,1.236741252,24.63133254,5.383891512,1,63702433.1,1.385172608,23.95861188,23.40141985,23.10083984,0,0,2,8,2,7,3,10
Gabon,242.32787,13.61217155,1,0,0,0,0,0,331626888,11.40485803,11.44034758,23.07046133,-1.9,8.867727395,1.961640144,19.13879529,0,0,1478439.9,0.038966543,20.33513793,17.80295471,20.2120367,0,12.71176578,1,3,0,0,1,3
Gambia,0,0,1,0,0,0,0,0,0,0,NA,20.40108919,-5,6.170704533,2.886375029,17.68330278,0.753636394,0,1520510.1,0.008549953,18.95756501,18.84726496,14.66338682,1,0,NA,NA,NA,NA,NA,NA
Georgia,1,9.455245415,0,0,0,0,0,0,0,6.18069294,NA,22.77478188,6.1,7.546061081,6.585107448,20.35756541,6.201312039,0,4112000,0.007682476,18.48875285,18.27484661,16.20669774,0,0,0,0,0,0,0,0
Germany,49,11.73790497,0,1,1,0,1,1,0,9.703646437,NA,28.74874551,10,10.52567519,1.133086149,19.98794435,1.876692649,1,82071549.3,4.259588124,25.08287226,24.33103542,24.43912505,0,0,3,8,2,11,6,13
Ghana,78.35519,9.034263959,1,0,0,0,0,0,9540658820,8.010551088,NA,23.56237389,7.6,6.638107482,6.788803335,20.23487395,0.552146092,0,22454985.7,0.056321077,20.70271617,20.60828212,18.20052072,0,16.0710731,1,2,0,0,1,2
Greece,1.6694,7.989678074,0,0,0,1,1,1,0,6.560630556,NA,26.29796197,10,10.0822868,0.505628082,20.91745124,3.338547033,1,11025248,0.131477675,21.59783422,21.53547509,18.75874774,0,0,1,3,1,4,2,6
Guatemala,10.56463,11.24238977,0,0,0,0,0,0,0,8.679217266,NA,24.16559906,8,7.745034926,3.533211835,15.87897401,1.924649957,1,13560148.3,0.034345566,20.26213962,20.21074342,16.649727,1,0,NA,NA,NA,NA,NA,NA
Guinea,0,0,1,0,0,0,0,0,749242255.4,0,NA,22.06369395,-0.6,5.94439988,2.650673081,15.27051357,4.722663999,0,10030432.8,0.011817361,19.15426734,19.03980616,16.5526163,0,13.52681765,0,0,0,0,0,0
Guinea-Bissau,0,0,1,0,0,0,0,0,257444948,0,NA,20.31563707,4.5,6.140877163,3.240999823,16.07590679,3.137551727,0,1435485.8,0.000513797,16.23001646,15.91298193,13.5153011,0,12.45856118,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,NA,21.02281439,6,7.496128329,2.863594866,18.36683907,1.722900956,1,749147.2,0.003096265,17.80059792,17.63209408,15.70209417,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,NA,22.32907584,1.9,6.264697724,0.794009687,17.43142629,6.104474349,1,9486278.3,0.004518565,18.09057488,18.06626944,#NAME?,1,0,NA,NA,NA,NA,NA,NA
Honduras,0,0,0,0,0,0,0,0,0,0,NA,23.16529703,7,7.321260702,4.270665205,20.24425632,2.317238338,1,7617799.6,0.011456288,19.14497415,19.02646806,16.61007004,1,0,NA,NA,NA,NA,NA,NA
Hungary,12.91257,9.780009495,0,1,0,0,1,0,0,8.795700414,NA,25.46703912,10,9.342558084,1.876527979,14.04361714,0.653233429,1,10064210.9,0.249743693,22.23817115,22.03994098,20.46831544,0,0,1,2,0,0,2,4
India,776.97042,14.51163457,0,1,1,0,1,1,0,12.44477081,12.57760327,27.62098707,9,6.741700997,7.720651775,23.43372303,6.182290768,0,1169938213,1.457078464,23.94198301,23.37254484,23.06757064,0,0,2,7,1,6,3,10
Indonesia,874.79235,14.29341264,0,0,1,0,1,1,0,12.84017239,12.86496064,26.7086322,7.6,7.449326575,5.488547694,18.02273556,4.744623911,0,231493938.3,1.178401922,23.78716956,23.07067706,23.11226359,0,0,1,6,1,5,2,9
Iran,3386.84973,17.62282289,0,0,0,0,0,0,0,14.17975271,14.23873188,26.36116423,-4.5,8.27414886,5.364937454,21.77861071,5.353019871,0,71668613.7,0.807501627,23.37951269,22.32794107,22.94559723,0,0,0,0,1,5,0,0
Iraq,2983.33333,17.54818898,0,0,0,0,0,0,0,13.53821914,13.56167787,25.21402078,-1,8.037755081,5.564961353,17.31137213,8.036116881,0,28147612.8,0.132460634,21.07841567,20.30161197,19.98568317,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,1,0,1,1,0,0,NA,26.08163003,10,10.80916012,2.445825365,19.48505517,2.691415741,0,4299304.5,0.237450887,22.17982245,21.56765194,21.31410656,0,0,1,3,1,4,1,3
Israel,0.39,6.772178983,0,0,0,0,0,0,0,3.653559146,NA,25.87091977,10,10.09089856,3.745698401,22.4197114,6.53066275,0,7141640,0.216589882,22.09851977,21.6869521,21.00589509,0,0,0,0,1,6,0,0
Italy,100.96721,12.17887971,0,0,0,1,1,1,0,10.49584779,10.62605111,28.28843264,10,10.40708649,0.21426189,19.28341752,4.114559936,1,58318827.2,1.315078928,23.90686181,23.44538101,22.89586384,0,0,1,3,2,11,3,9
Ivory Coast,37.9153,10.50506754,1,0,0,0,0,0,1683918825,9.502490999,NA,23.68364182,0.4,6.925981517,0.663140027,19.5793397,5.684308944,0,18989628.3,0.021630424,19.78017339,19.52520411,18.02720694,0,14.33663427,0,0,0,0,0,0
Jamaica,0,0,0,1,0,0,1,0,0,0,NA,23.18606822,9,8.353346583,0.732669119,20.07865507,1.225842788,1,2765806,0.016681898,19.44024274,18.94634403,17.47159174,0,0,0,0,0,0,0,0
Japan,5,9.856215343,0,1,1,0,1,1,0,7.616682266,NA,29.21959394,10,10.55317592,0.615432159,14.27504261,2.318445596,1,127856500,11.20776714,26.04387967,25.21963405,25.46553091,0,0,2,8,2,12,3,11
Jordan,0.022,5.87659059,0,0,0,0,0,0,0,1.977338297,NA,23.52299005,-2.5,7.887858815,6.053597218,21.08840227,0.90752077,0,6212966.2,0.062590997,20.84545356,20.75200621,18.36561255,0,0,0,0,0,0,0,0
Kazakhstan,1514.47541,15.55609537,0,0,1,1,1,1,0,13.05929417,13.11919537,25.06220273,-6,8.504179046,7.72,22.6377495,2.04732032,0,15536513.8,0.503636329,22.89939528,22.1710481,22.21162707,0,0,4,11,2,6,7,19
Kenya,0,0,1,0,0,0,0,0,2116994290,0,NA,23.95529752,7.7,6.513675965,4.586663809,18.27174903,4.377099629,0,37682865,0.041568844,20.39364113,20.36164054,16.90923887,0,14.56550785,1,3,1,4,1,3
Kosovo,NA,NA,0,0,0,0,0,0,0,NA,NA,22.50529364,8,8.119476135,3.478909338,20.00900427,3.784316599,0,1768884.25,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Kuwait,2634.94536,17.42728043,0,0,0,0,0,0,0,13.66653673,13.74974763,25.20230706,-7,10.46625685,5.733517151,11.86028302,0.869951475,0,2533859.4,0.179152252,21.82314976,20.68341,21.40225202,0,0,0,0,0,0,0,0
Kyrgyzstan,1,9.588776808,0,1,0,0,1,0,0,6.146253397,NA,21.90034855,1.6,6.428006375,4.228264624,18.66993123,3.962007787,0,5245260,NA,NA,NA,NA,0,0,2,4,1,3,2,4
