country,visit,day,prod2,reserve2,GDPpc2,growth2,FDI2,trade.de2,polity2,dom2,usally2,oecd,pop2,dist,contig,taiwan2,region2
Afghanistan,0,0,0,0,5.747803451,9.358306594,13.7615275,0.005623464,-7,8.097771673,0,0,25144466.31,4180.438,1,0,Asia
Albania,0,0,7.91351004,11.08748463,7.696077547,4.85033581,19.47414624,0.007751543,7.375,2.175838418,0,0,2997916.625,7686.079,0,0,Europe
Algeria,3,8,13.18743144,15.17466011,7.930960359,3.637450762,20.76606892,0.108904584,-0.1875,5.411655035,0,0,33852582.56,9117.676,0,0,Africa
Angola,2,3,12.96177231,14.69029688,7.199323032,7.791596932,5.405917629,0.463793932,-2.3125,3.385577588,0,0,20207736.81,11769.51,0,0,Africa
Argentina,4,13,12.4707277,13.77671551,8.842675715,3.093634934,22.57485677,0.331584535,7.875,3.879324942,1,0,39357493.38,19297.47,0,0,America
Armenia,0,0,0,0,7.282201524,7.170974171,19.3682204,0.002421332,4.3125,1.69293545,0,0,2973012.563,5947.15,0,0,Europe
Australia,6,26,12.12726867,13.61478831,10.38569051,3.357110384,20.73790056,1.880933935,10,1.122747778,1,1,20684736.31,8956.436,0,0,Oceania
Austria,3,14,8.773402821,10.08491454,10.48734732,1.970955935,19.81242278,0.169214218,10,1.503064516,0,1,8219969.188,7468.012,0,0,Europe
Azerbaijan,0,0,12.05035572,14.08527826,7.460379567,11.84077107,21.48660751,0.016860481,-6.9375,1.574531359,0,0,8554777.625,5520.214,0,0,Europe
Bahrain,0,0,9.502512618,10.82726999,9.688570766,4.80990064,20.04826804,0.021638303,-7.6875,1.464301158,0,0,954623,6184.87,0,0,MEast
Bangladesh,3,7,7.2874141,9.335532965,6.241576072,5.52517948,19.80864051,0.171701882,4.25,5.336530882,0,0,143290712.3,3036.238,0,0,Asia
Belarus,3,7,9.444830406,11.18816438,7.933108648,6.920769228,20.03556056,0.023704772,-7,2.257771056,0,0,9697195.563,6480.601,0,0,Europe
Belgium,7,18,0,0,10.43316428,1.935370403,24.70321201,0.685535917,9.25,2.774676931,1,1,10594402.25,7970.82,0,0,Europe
Benin,0,0,2.481858769,8.074189051,6.325675157,4.218331773,4.857567511,0.066242956,6.4375,0,0,0,8145762.875,11545.88,0,0,Africa
Bhutan,0,0,0,0,7.111248281,7.919626809,13.81578132,0.000194616,-5,1.782724708,0,0,659383.8125,2812.561,1,0,Asia
Bolivia,0,0,9.510892869,11.64692193,7.162511477,3.857104736,17.58976725,0.006742801,8.125,5.412739325,1,0,9207562.625,17389.85,0,0,America
Bosnia,0,0,0,0,7.847952753,6.756811005,19.69695699,0.00221516,NA,0.301769609,0,0,3743327.5,7615.699,0,0,Europe
Botswana,0,0,0,0,8.416083073,4.557113942,19.26473269,0.006605475,8,0,0,0,1883196.75,11792.98,0,0,Africa
Brazil,5,18,13.22189708,15.03290926,8.631688659,3.20532809,24.15419624,1.157386646,8,4.529873577,1,0,187288985.9,17614.3,0,0,America
Bulgaria,1,3,5.746450311,8.607947555,8.152355222,3.049541324,21.45982188,0.033456821,8.75,1.946576707,0,0,7689583.625,7364.447,0,0,Europe
Burkina Faso,0,0,0,0,5.936360794,6.146475037,17.04510607,0.005837548,-0.9375,0.491980792,0,0,13777953.56,11404.37,0,1,Africa
Burundi,0,0,0,0,5.096549199,2.686832474,11.12301788,0.00082142,3.125,6.317714426,0,0,7673049.313,10011.62,0,0,Africa
Cambodia,6,16,0,0,6.165052931,7.889863624,19.59941425,0.041950655,1.4375,2.116922911,0,0,13351607.25,3351.089,0,0,Asia
Cameroon,2,5,10.28136395,11.67475341,6.804158941,3.768246092,14.69643664,0.026686665,-4,0.301769609,0,0,17825234.13,11002.26,0,0,Africa
Canada,7,26,13.66538508,16.6378037,10.40535709,2.630316498,23.99106082,1.163392593,10,1.930335019,1,1,32533157.94,10598.32,0,0,America
Central African Republic,0,0,0,0,5.816570157,2.768728364,16.50044999,0.000778803,1.25,3.825911397,0,0,4129701.625,10367.61,0,0,Africa
Chad,0,0,6.672602063,13.21311774,6.089825728,8.161315842,12.02901866,0.008231474,-2,2.958652948,0,0,10299196.63,10103.65,0,0.625,Africa
Chile,4,10,7.5211702,10.95385435,8.934141323,4.41139146,22.86451181,0.505487393,9.25,2.817526652,1,0,16214922,19079.88,0,0,America
Colombia,1,2,12.38193355,13.43258772,8.185237367,3.48484608,22.31977163,0.098090015,7,7.370639542,1,0,43453616.56,14937.48,0,0,America
Comoros,0,0,0,0,6.35567206,2.700084322,14.00802115,0.000233826,5.5,2.43099186,0,0,622761.125,9456.55,0,0,Africa
Congo Brazzaville,2,4,11.44345946,13.23977693,7.285499374,3.887739855,15.27757848,0.0950757,-4.5625,2.670503785,0,0,3839478,11274.53,0,0,Africa
Congo Kinshasa,0,0,9.00107701,11.11669906,5.422156409,2.664966322,14.91023348,0.035402969,2.6875,6.519127832,0,0,56531037.13,11008.18,0,0,Africa
Costa Rica,2,5,0,0,8.554127844,4.536890242,20.8901341,0.075264733,10,0.97479992,1,0,4266543.875,14090.98,0,0.6875,America
Croatia,1,2,8.844544705,10.24135568,9.095386706,2.141222217,21.20701945,0.032728957,6.4375,0.948630525,0,0,4415202.25,7648.763,0,0,Europe
Cuba,5,16,9.752140746,11.4692802,8.248057775,4.595284956,NA,0.061439853,-7,0.646860916,0,0,11264734.19,NA,NA,0,America
Cyprus,0,0,0,0,10.01930952,2.87674859,18.48036656,0.026978034,10,0,0,0,1034511.188,7076.428,0,0,Europe
Czech Republic,2,5,7.362895531,8.493411213,9.366760952,2.387927793,22.50375012,0.162891991,9.125,2.027226145,0.875,1,10325684.94,7462.242,0,0,Europe
Denmark,2,5,11.59393803,12.88976587,10.7073079,1.356018324,16.80832447,0.240801459,10,1.084024831,1,1,5447191.375,7208.356,0,0,Europe
Djibouti,0,0,0,0,6.876023796,3.146276077,16.88632966,0.009437883,1,0.916703923,0,0,790636.75,7769.803,0,0,Africa
East Timor,0,0,9.30208338,0,6.435050405,4.995527335,14.76023317,0.00093083,6.636363636,1.991660786,0,0,1064485.333,NA,NA,0,Asia
Ecuador,0,0,12.01859761,14.11387344,7.986852402,3.67731483,17.7639794,0.047470491,6.1875,5.100266117,1,0,13884718.5,15364.41,0,0,America
Egypt,6,19,12.38435654,14.09370994,7.365425672,4.598987822,18.88997849,0.174330499,-4.533333333,3.459413541,0,0,77788176.06,7551.418,0,0,MEast
El Salvador,0,0,0,0,7.927437656,2.294728219,17.22677055,0.013414611,7.25,1.321414616,1,0,6033487.125,13507.86,0,1,America
Equatorial Guinea,0,0,11.27976566,10.07911356,8.623259246,26.07579656,17.57027802,0.059384262,-5,1.808742604,0,0,795040.875,11235.13,0,0,Africa
Eritrea,0,0,0,0,5.651388627,1.673957529,17.1671164,0.001253681,-6.75,0.358937699,0,0,3873244.643,7878.1,0,0,Africa
Estonia,1,2,0,0,9.063580694,4.572317572,20.76365198,0.022393768,8.5,0.725087132,0,1,1355474.813,6372.091,0,0,Europe
Ethiopia,3,7,0,5.055927283,5.249209881,7.388486724,19.3982826,0.027573916,-1,3.434330099,0,0,78149449.56,8315.988,0,0,Africa
Fiji,2,5,0,0,8.034718215,1.661992365,16.19789465,0.003894646,1.3125,0.973805205,0,0,833913.5625,9104.002,0,0,Oceania
Finland,1,1,0,0,10.48571958,2.534313229,17.07019133,0.379164157,10,0.358937699,0,1,5273930.875,6326.875,0,0,Europe
France,7,25,9.050004546,10.69920034,10.38121394,1.73002194,24.50851727,1.358152039,9,5.079714462,1,1,63227226.63,8225.232,0,0,Europe
Gabon,1,3,11.49185084,13.60106317,8.71484771,1.587707723,12.08263771,0.04256444,-2.25,0.380138682,0,0,1451491.563,11432.47,0,0,Africa
Gambia,0,0,0,0,6.272486331,3.801623621,17.52901893,0.00862113,-5,0.816114054,0,0,1482828.313,12365.75,0,1,Africa
Georgia,0,0,6.321353194,9.455245415,7.294709684,5.958659478,19.89074714,0.006434495,5.75,5.78769618,0,0,4154093.75,5852.917,0,0,Europe
Germany,11,34,9.723123753,11.75934926,10.41964481,1.393520323,21.73071025,3.952244007,10,2.172190989,1,1,81905987,7785.342,0,0,Europe
Ghana,1,2,8.048037675,9.140880927,6.437126116,6.136080659,19.87287691,0.051814563,6.125,0.345091307,0,0,21968976.88,11831.63,0,0,Africa
Greece,5,15,6.730059999,8.080874811,9.885641154,1.078679395,17.99060976,0.11789951,10,2.622699626,1,1,10963303.06,7623.437,0,0,Europe
Guatemala,0,0,8.730641688,11.35221899,7.660400156,3.590516661,12.25237285,0.030529826,8,3.34101298,1,0,13285321.63,13351.5,0,1,America
Guinea,0,0,0,0,5.962605339,3.078123661,15.91866738,0.012263825,-0.625,3.331803682,0,0,9878697.688,12651.77,0,0,Africa
Guinea-Bissau,0,0,0,0,5.939965805,1.103341349,15.49202871,0.000557001,4,3.906030763,0,0,1412871.375,12441.42,0,0.125,Africa
Guyana,0,0,0,0,7.340808102,2.613371348,18.24902262,0.002927114,6,1.968885167,1,0,751339.875,14808.48,0,0,America
Haiti,0,0,0,0,6.236591532,1.140479963,17.09288198,0.004254746,1.9375,6.505408432,1,0,9343026.063,13463.2,0,1,America
Honduras,0,0,0,0,7.190376857,3.832028149,19.92293694,0.012853827,6.875,3.064623367,1,0,7444251.125,13543.21,0,1,America
Hungary,2,4,8.908594572,10.03527644,9.078971624,2.241809318,17.08609001,0.209342408,10,0.710040502,0.875,1,10084887.5,7347.376,0,0,Europe
India,6,23,12.43303966,14.44558962,6.562251767,6.900490935,22.98646367,1.166596987,9,6.504888305,0,0,1151003263,3785.013,1,0,Asia
Indonesia,4,16,12.93662763,14.32275694,7.225071815,3.865208827,8.848216266,1.167143274,5.625,5.952992621,0,0,228514369.3,5220.879,0,0,Asia
Iran,2,7,14.14644906,17.54044756,8.066942035,3.794468423,20.6942019,0.67337936,-2.3125,5.608583139,0,0,70797915.81,5609.038,0,0,MEast
Iraq,0,0,13.56035232,17.55635381,8.122731284,9.185945799,11.43344139,0.134069613,-5,5.904583069,0,0,27563832,6298.444,0,0,MEast
Ireland,3,8,0,0,10.60104077,4.322354446,20.91991163,0.189282957,10,2.285674055,0,1,4207320.938,8290.863,0,0,Europe
Israel,1,6,3.84494132,7.029653457,10.04941395,3.81834042,22.23727738,0.196929966,9.875,6.726034884,0,1,7013150,7146.982,0,0,MEast
Italy,6,25,10.476812,12.24166375,10.27205468,0.613573945,20.20679743,1.245684779,10,4.142176372,1,1,58168825.38,8134.695,0,0,Europe
Ivory Coast,0,0,9.220971413,10.50506754,6.830899866,1.605164778,19.58137248,0.026935023,0.1875,5.980773109,0,0,18699543.5,12145.08,0,0,Africa
Jamaica,0,0,0,0,8.283368042,0.406314411,19.97417595,0.015886786,9,2.493022506,1,0,2745686.438,13446.64,0,0,America
Japan,5,23,7.720575834,9.875277465,10.53988926,0.658182571,17.20674903,11.78839619,10,2.843340199,1,1,127541375,2098.111,0,0,Asia
Jordan,0,0,2.18792393,5.64571733,7.755961942,5.150720352,20.63847403,0.056354483,-2.375,1.036087137,0,0,6173445.125,7061.988,0,0,MEast
Kazakhstan,12,32,12.84491267,15.2659861,8.155361553,6.7375,22.22268809,0.417663132,-5.375,1.782524547,0,0,15558345.31,3277.169,1,0,Asia
Kenya,3,10,0,0,6.406588894,3.804996524,18.02760596,0.03850598,4.6875,4.359313923,0,0,36840268.31,9223.831,0,0,Africa
Kosovo,0,0,NA,NA,8.132548015,3.344819001,19.90647362,NA,8,4.176053917,0,NA,1784139.5,NA,NA,0,Europe
Kuwait,0,0,13.62349719,17.41317663,10.25118343,4.60822118,11.95303005,0.155140985,-7,1.012606327,0,0,2517878.125,6225.544,0,0,MEast
Kyrgyzstan,3,7,6.229632004,9.588776808,6.252768861,4.289721704,16.33819019,NA,0.5,2.856393549,0,0,5202018.75,3471.802,1,0,Asia
Laos,5,13,0,0,6.287788527,6.955118415,18.11246048,0.016073731,-7,0,0,0,5820270.938,2778.652,1,0,Asia
Latvia,1,3,0,0,8.814882906,4.690253786,17.86003618,0.017988601,8,1.479334263,0,0,2221698.313,6523.571,0,0,Europe
Lebanon,0,0,0,0,8.732267473,3.989432369,21.67742064,0.036245066,6,3.668336052,0,0,3968517.25,6983.571,0,0,MEast
Lesotho,0,0,0,0,6.597805186,3.782137192,17.71735254,0.002528914,6.75,0.833994103,0,0,1963703.313,11972.86,0,0,Africa
Liberia,0,0,0,0,5.306224395,13.9752281,18.61698864,0.045549911,3.1875,3.176434525,1,0,3414213.188,12572.44,0,0.4375,Africa
Libya,1,2,13.13991017,16.38958974,8.891784329,-1.001558828,10.13240102,0.087461166,-6.125,0.826388045,0,0,5793105.813,8743.509,0,0,Africa
Lithuania,1,2,7.302445549,8.384804003,8.820119973,4.649378344,20.2210386,0.022932151,10,0.402359478,0,0,3283438.438,6567.348,0,0,Europe
Luxembourg,3,10,0,0,11.21362523,3.636690771,18.9773593,0.063111432,10,0,1,1,474545.4375,7964.416,0,0,Europe
Macedonia,0,0,0,0,7.973339118,2.857485483,19.2160474,0.002827419,8.0625,2.058607888,0,0,2055734.75,7531.092,0,0.1875,Europe
Madagascar,0,0,0,0,5.759386899,3.072293209,18.7330902,0.013632636,5.6875,1.447093228,0,0,18711607.38,9676.325,0,0,Africa
Malawi,0,0,0,0,5.621933407,4.206730942,15.69596905,0.002506922,5.6875,0.111984967,0,0,13413282.13,10394.82,0,0.75,Africa
Malaysia,5,15,12.41990581,14.07973676,8.648116274,4.520497463,22.04046762,1.841277841,3.9375,2.416893489,0,0,25905358.81,4355.047,0,0,Asia
Mali,1,2,0,0,6.128631634,4.947683129,16.36603257,0.008408405,6.25,1.034645776,0,0,13180517.31,11841.6,0,0,Africa
Mauritania,0,0,3.65238397,10.23682789,6.619531423,4.148880699,14.25138343,0.021645009,-4.0625,1.884090985,0,0,3202048.313,11903.59,0,0,Africa
Mauritius,1,2,0,0,8.593334566,4.602785325,16.28473246,0.013721141,10,0,0,0,1223038.188,9054.787,0,0,Africa
Mexico,4,12,13.92161699,15.70103846,8.922793194,2.870448578,23.78380582,0.539602918,7.625,7.042039527,1,0,110015102.7,12467.17,0,0,America
Moldova,1,2,0,0,6.694484969,3.252770881,18.8040092,0.002083537,8.25,1.608664215,0,0,3596487.625,6742.606,0,0,Europe
Mongolia,6,15,5.523676421,0,6.970916265,6.652140953,19.13647768,0.082881593,10,1.307568224,0,0,2568049.25,1172.047,1,0,Asia
Montenegro,0,0,0,0,8.754987276,3.351177545,20.51319971,0.003079595,9,0.788780131,0,0,618434.75,NA,NA,0,Europe
Morocco,3,10,4.739032858,6.105773873,7.591999877,4.156745654,19.77028556,0.083697818,-5.8125,1.912689804,0,0,30805448.31,9951.105,0,0,Africa
Mozambique,1,2,0,0,5.876266308,8.016168411,19.8632665,0.012676725,5,1.491920499,0,0,21428011.5,11347.11,0,0,Africa
Myanmar,3,9,8.661691838,9.811920359,5.945245521,10.56171369,19.89414527,0.117377999,-6.5625,5.211652291,0,0,48436650,3234.079,1,0,Asia
Namibia,1,2,0,0,8.050488727,4.512917824,19.27173856,0.011071212,6,0,0,0,2052492.25,12372.95,0,0,Africa
Nepal,2,4,0,0,5.822734887,4.133609684,8.818337451,0.022620257,2.875,5.42106267,0,0,25618102.13,3160.925,1,0,Asia
Netherlands,4,11,7.97849123,10.68305062,10.55251825,1.99852916,25.2721907,1.634982627,10,2.0978025,1,1,16314906.75,7831.141,0,0,Europe
New Zealand,5,18,9.48900372,10.36997851,10.05761509,2.590045322,13.4359972,0.18371208,10,0,0,1,4133818.75,11041.03,0,0,Oceania
Nicaragua,0,0,0,0,7.09626465,3.805822926,19.59958526,0.007960436,8.375,2.442126487,1,0,5415642.375,13785.57,0,1,America
Niger,0,0,1.04371707,0,5.505287583,4.469831177,15.85783945,0.004750166,3.4375,1.724457977,0,0,14108045,11024.17,0,0,Africa
Nigeria,3,8,13.64015787,16.13507122,6.632675283,7.018188354,21.84258109,0.189572605,3.0625,6.894992127,0,0,142053951,11466.06,0,0,Africa
Norway,0,0,13.74029633,14.93711637,10.99393744,2.035026678,22.84945386,0.179598088,10,0.690182615,1,1,4695225.875,7031.006,0,0,Europe
Oman,0,0,12.63535059,14.50047206,9.38586912,3.475800924,19.50417988,0.31986694,-8.3125,0.149868455,0,0,2692980.813,5658.039,0,0,MEast
Pakistan,6,18,10.00916764,11.48809032,6.579646714,3.748719554,20.90049302,0.254706802,0.0625,6.445159415,1,0,156082550.4,3882.877,1,0,Asia
Panama,0,0,0,0,8.593767468,6.238073361,21.03208825,0.251206059,9,1.940582748,1,0,3366610.625,14352.56,0,1,America
Papua New Guinea,0,0,9.779552469,11.20569225,6.777603118,3.204185435,11.13557908,0.028284735,4.0625,4.262888694,0,0,6412088.313,6343.974,0,0,Oceania
Paraguay,0,0,0,0,7.594690104,2.444070657,16.46419113,0.02169353,7.5625,3.69057561,1,0,5811493.375,18311.35,0,1,America
Peru,2,5,10.33807662,12.10198699,8.009294369,4.926458239,21.83010436,0.199315374,7.25,7.10296127,1,0,27819035.63,16666.29,0,0,America
Philippines,3,6,8.13874762,11.04072412,7.225697545,4.388991995,21.11291449,0.842594118,8,6.366218109,1,0,86778189.06,2850.319,0,0,Asia
Poland,3,8,8.416438876,10.43204877,8.92811638,4.141990935,23.03254412,0.257603591,9.6875,1.372090905,0.875,1,38210103.5,6947.899,0,0,Europe
Portugal,5,8,0,0,9.736820696,1.15998489,22.33528489,0.076811529,10,0.85049195,1,1,10449422.63,9675.63,0,0,Europe
Qatar,1,2,12.75154979,15.26312732,10.68538823,12.74522983,20.73735799,0.071262035,-10,0,0,0,1159931.313,6164.891,0,0,MEast
Romania,0,0,10.57185733,12.72768259,8.285389327,2.570713687,21.82401462,0.105850055,8.5625,2.048321697,0,0,21190550.69,7068.477,0,0,Europe
Russia,21,68,14.89704993,16.82276842,8.453841034,4.349066839,23.34072551,1.714658627,4.6875,7.097465904,0,0,144306176,5795.045,1,0,Europe
Rwanda,0,0,0,0,5.802465159,8.395915012,16.61192848,0.002060138,-3.9375,3.109149548,0,0,9186962.438,9845.182,0,0,Africa
Saudi Arabia,5,14,14.97171474,18.38063889,9.451268836,3.492346488,9.32764953,0.991680806,-10,0.901136615,0,0,24435606.63,6605.185,0,0,MEast
Senegal,0,0,0,0,6.587782095,4.114933269,18.94538368,0.012360913,5.9375,1.031714461,0,0,11536507.88,12312.88,0,0.5625,Africa
Serbia,2,8,8.577096204,10.25017529,8.630764088,2.002070586,21.83410043,0.01230264,8,0.297063077,0,0,7294115.125,NA,NA,0,Europe
Sierra Leone,0,0,0,0,5.632165007,5.552030036,17.12774396,0.004045666,4.3125,3.464551601,0,0,5653004.188,12570.8,0,0,Africa
Singapore,5,13,0,0,10.34320389,5.642744118,23.77437754,1.920537266,-2,0.301769609,0,0,4535249.313,4484.657,0,0,Asia
Slovak Republic,0,0,NA,NA,9.220779413,4.08311879,21.37014241,0.05925434,9.3125,0.820147711,0,1,5385849.688,NA,NA,0,Europe
Slovenia,0,0,1.147970567,0,9.716867372,2.694410265,17.43718767,0.026341164,10,0.301769609,0,1,2014870.063,7722.639,0,0,Europe
Solomon Islands,0,0,0,0,7.007084082,2.047064112,10.66811962,0.005623535,6.4,4.171711688,0,0,476015.5625,7089.695,0,0,Oceania
Somalia,0,0,0,0,NA,NA,10.20015679,0.001258351,0.333333333,5.291858921,0,0,10659992.13,NA,NA,0,Africa
South Africa,6,19,8.05608661,8.825736582,8.429024195,3.125950479,21.64588028,0.593876553,9,2.35928065,0,0,48147992.83,12967.77,0,0.125,Africa
South Sudan,0,0,NA,NA,7.153641261,-25.36121956,18.89691492,0.000462802,0,1.716993602,0,0,10814868.33,NA,NA,0,Africa
Spain,3,6,7.345553777,10.17960487,10.03927126,2.2685568,24.07370585,0.63729671,10,5.011004875,1,1,43804798.81,9232.299,0,0,Europe
Sri Lanka,3,7,0,0,7.225174864,5.685633594,19.66859647,0.064532492,5.1875,6.734855529,0,0,19462812.5,5171.491,0,0,Asia
Suriname,0,0,8.310664151,10.37955499,8.227127333,4.054384055,-9.240445094,0.00499945,5,0.802167582,1,0,501858.3125,14866.92,0,0,America
Swaziland,0,0,0,0,7.754824605,3.309167868,11.56175131,0.001552854,-9,1.017293793,0,0,1132594.75,11485.86,0,1,Africa
Sweden,2,7,0,0,10.60487616,2.517042804,23.33523578,0.422360786,10,0.704129087,0,1,9129815.5,6713.787,0,0,Europe
Switzerland,4,12,0,0,10.90195984,2.029654633,23.38882257,0.424031831,10,0.345091307,0,1,7523041.313,8084.264,0,0,Europe
Syria,0,0,11.92262101,13.72394336,7.167697445,3.893400665,19.69839976,0.057087554,-7.5,1.201819239,0,0,18575703.31,6940.429,0,0,MEast
Tajikistan,5,13,4.675195015,8.384804003,5.841336865,7.243749692,17.91435208,0.021718307,-2.5,2.818674957,0,0,6989839.25,4052.918,1,0,Asia
Tanzania,3,7,0,0,6.066189296,6.033472701,20.19998473,0.031704162,-1,2.246275879,0,0,40614740.38,9422.745,0,0,Africa
Thailand,6,20,10.93615299,11.88530438,8.020501491,3.308418037,22.55034405,1.337487448,6.3125,3.347038352,0,0,65352155.13,3303.891,0,0,Asia
Togo,0,0,0,0,5.936338764,2.828694691,18.05861783,0.036446273,-2.625,1.355242532,0,0,5803732,11656.86,0,0,Africa
Trinidad and Tobago,1,3,10.66002546,12.48009945,9.246931027,5.785241519,17.79771231,0.008855143,10,1.117783582,1,0,1301197.313,14403.7,0,0,America
Tunisia,1,3,10.23437766,11.74227158,8.03162399,4.084926739,20.56708427,0.026398375,-3.642857143,0.745829949,0,0,10202383.69,8646.589,0,0,Africa
Turkey,3,12,9.774960735,11.58093648,8.752048316,4.40867417,22.18883479,0.324106443,7.25,5.826481405,1,0,68338881.31,7064.197,0,0,MEast
Turkmenistan,5,12,10.98675353,12.23788283,7.427660273,7.587880235,20.05894779,0.038427999,-9,0.358937699,0,0,4825183.938,4939.987,0,0,Asia
UAE,2,4,13.6973267,17.39057721,10.4679638,4.585102771,16.48670117,0.671711141,-8,0,0,0,5557535.375,5966.427,0,0,MEast
Uganda,1,2,0,1.600956579,5.868644754,6.770627455,19.71362942,0.006793338,-2.5,5.793992376,0,0,29413777.31,9468.473,0,0,Africa
Ukraine,2,7,9.919838283,11.87878312,7.373412262,3.250263373,21.61547848,0.197543693,6.4375,3.297734754,0,0,47282343.88,6460.799,0,0,Europe
United Kingdom,9,32,9.579112553,14.22473457,10.48050825,2.017310188,25.08904676,1.587479505,10,4.071799106,1,1,60918457.38,8151.353,0,0,Europe
United States,8,40,14.53571399,15.95939808,10.64046303,2.384350567,26.04520215,12.73103525,10,4.599638985,0,1,296860740.1,10993.68,0,0,America
Uruguay,2,5,0,0,8.879812639,3.090894887,20.2846542,0.051195829,10,0.790772484,1,0,3343881.625,19175.59,0,0,America
Uzbekistan,5,14,10.20744074,12.28677667,6.599280512,6.501322115,19.36286106,0.043348071,-9,1.917662418,0,0,26699643.75,3943.621,0,0,Asia
Venezuela,2,4,13.78926295,17.30105742,8.736624187,3.049009515,18.9525716,0.20359152,3.9375,4.165558204,1,0,26986623.56,14402.5,0,0,America
Vietnam,7,20,11.65802244,12.42135389,6.560611546,6.4407447,21.80501296,0.62204374,-7,0.086643398,0,0,82760806.25,2330.799,1,0,Asia
Yemen,0,0,11.73499334,14.08606622,6.62784687,3.353063089,2.523387391,0.142725046,-1.6875,2.635291277,0,0,21006822.69,7417.418,0,0,MEast
Zambia,1,3,0,0,6.544508886,6.232652947,19.92386177,0.032451982,4.625,1.948946976,0,0,12342991.81,10960.79,0,0,Africa
Zimbabwe,1,2,0,0,6.297823712,-0.310333937,17.81372382,0.019866703,-2.875,3.126742019,0,0,13216233.25,10898.12,0,0,Africa